neighborhood,number_of_points
"POLYGON ((-73.74016951762781 40.7384818975069, -73.7414462859287 40.7369387468074, -73.74151636839601 40.7368603610405, -73.7415894454259 40.736782009927, -73.74228431198431 40.7360864083399, -73.7429478585603 40.7354565515303, -73.7447241770073 40.7340110302483, -73.74555367971421 40.7334043180198, -73.7461625945495 40.7329272195823, -73.74672140362711 40.732477150644, -73.7470453150768 40.7321936537057, -73.7473312665615 40.7319387409973, -73.7474969286838 40.7317910511831, -73.7479342385097 40.7314011962218, -73.7491718855846 40.7302990688401, -73.7498098750692 40.7297467500572, -73.7504829564986 40.7292212943939, -73.75081066939499 40.7289950387788, -73.7510675391817 40.7288176983399, -73.7517767991304 40.7283680781811, -73.7518423828998 40.7283265024007, -73.75192413491131 40.7282800322624, -73.7522191407144 40.7281123435793, -73.752594709351 40.7279089859765, -73.75297028783319 40.727705620133, -73.7536310998028 40.7273937476588, -73.75380709282921 40.7273155315039, -73.754064692594 40.7272010455231, -73.7544222251128 40.7270421482328, -73.75527584384039 40.7267154406001, -73.75612598784819 40.7264302603588, -73.7565525339654 40.7262707549329, -73.75663658112509 40.7262464107945, -73.7567032923354 40.7262294326618, -73.7567473961243 40.7262728959838, -73.7567827271554 40.7263057848626, -73.75684854737381 40.7263558126697, -73.7578714145791 40.7271068514864, -73.7583167551682 40.7273624076172, -73.75993818300159 40.728158412321, -73.76024210995079 40.7283076120695, -73.76114083680589 40.7287944137617, -73.7616081443836 40.7290475349437, -73.7623420983915 40.7295382907013, -73.7632753774446 40.7302405411146, -73.763818667354 40.7306835738072, -73.7643507152622 40.7311511921359, -73.7648685309736 40.7316686396682, -73.76528830379659 40.7321146645519, -73.7655885617428 40.7324675210339, -73.7656437446564 40.732533126739, -73.7655508605382 40.732544283944, -73.7649166767988 40.7326546723035, -73.7643401501722 40.7327529552508, -73.7636997917017 40.7328641168478, -73.76374010476439 40.7329128725578, -73.7647122870415 40.7340856997251, -73.7651101841238 40.7345577380449, -73.7634969231292 40.73504763382, -73.7627330346774 40.7352621631748, -73.762528757224 40.7360039606938, -73.76248538695449 40.7361816956854, -73.7624633461843 40.7363636253042, -73.762463483763 40.7365475010895, -73.7624860927728 40.7367309819522, -73.7625308618954 40.7369116801443, -73.7625969477084 40.7370873264227, -73.7626829717928 40.7372558362194, -73.7631681653848 40.7382617079325, -73.76361225419581 40.7391684110823, -73.76431495559861 40.7406726268385, -73.7651512888346 40.7424373452568, -73.76556849810591 40.7432581550272, -73.7661748475612 40.7435672716866, -73.7663375615183 40.7436522590966, -73.7664910963301 40.7437484296827, -73.76663352576399 40.743854852652, -73.7667631486094 40.7439703628016, -73.7668785359697 40.7440935787037, -73.7669786290521 40.7442229687385, -73.76761508028081 40.7455263553192, -73.7677061458968 40.7457227427204, -73.767729913593 40.7457762261726, -73.76729011879441 40.7459038145565, -73.7668155194375 40.7460300577671, -73.766355208653 40.7461524968393, -73.7658920236226 40.74628062699, -73.7650162313067 40.746522881663, -73.7641432440906 40.7467640463338, -73.7629777777404 40.7470816224856, -73.762400458423 40.7472432542929, -73.76151846629119 40.747490548006, -73.76145571943739 40.7475079515914, -73.76138355718849 40.747529171163, -73.7607361209827 40.7477373859746, -73.7597255364158 40.7481886609907, -73.75885932507811 40.7485842281331, -73.75845857488829 40.7487630939042, -73.75805782280079 40.7489419488956, -73.7580280558302 40.7489578163186, -73.7577393695468 40.7490634432419, -73.75744314840421 40.7491567333215, -73.7571408041301 40.7492372592675, -73.75684127432621 40.7493220777071, -73.75686552189249 40.749361489306, -73.7569899151589 40.7495750101982, -73.75737034704581 40.7502438567631, -73.7578274615108 40.7507582695778, -73.7590624920271 40.7522091808263, -73.7594398304536 40.7524025065553, -73.75953187108639 40.7524449498022, -73.7595320454714 40.7524450352698, -73.7595322067957 40.7524451383004, -73.7596849442004 40.7525362568465, -73.75968509343861 40.7525363516429, -73.75968523096979 40.7525364551263, -73.7598241256586 40.7526418130193, -73.7598243012001 40.7526419445587, -73.75982443796821 40.7526420765198, -73.7599462456164 40.7527597331201, -73.7599463722828 40.7527598563487, -73.75994649731059 40.752760006378, -73.7600485411902 40.7528873621808, -73.76004867910849 40.7528875420567, -73.7600488039666 40.7528877393281, -73.7601294248 40.7530220237249, -73.76012948812919 40.7530221171691, -73.7601295258625 40.7530222221194, -73.7601880192511 40.7531604991242, -73.7604862370474 40.7538396167467, -73.76080194147529 40.7545477298219, -73.7609004697977 40.7546851359932, -73.7610153998213 40.7548160929934, -73.7611455644212 40.754938948719, -73.7612893823428 40.7550522153888, -73.7614449746478 40.7551546564002, -73.7615672372436 40.7552323522187, -73.7616766980221 40.755323476822, -73.76176970581049 40.7554260205851, -73.7618434400302 40.7555372693134, -73.7618961109098 40.755654002834, -73.7619271382072 40.7557728533623, -73.7618557231724 40.7565169758881, -73.7617669285884 40.7572788020731, -73.76199745967649 40.7581021907127, -73.7623951054092 40.7594969976197, -73.76125540608651 40.759714707973, -73.76035620333739 40.7599001337178, -73.7602820591075 40.7599143998032, -73.75987745953221 40.7599949221148, -73.7580013176716 40.7603798674805, -73.756820621964 40.7597348063319, -73.7562560635633 40.7584304695596, -73.7558371332326 40.7577420617845, -73.7555734371642 40.7582809518406, -73.7555171892634 40.7583214735855, -73.7553913744175 40.7583892484187, -73.7552563279493 40.758442145572, -73.755116484225 40.7584794981347, -73.7549760794917 40.7585015595212, -73.75422838195369 40.7585248923767, -73.75404744825479 40.7585123855074, -73.75386725589451 40.7584856525771, -73.7536906909754 40.7584447883814, -73.75352058507519 40.7583903303892, -73.753359584845 40.7583232492481, -73.7532099711831 40.758244873007, -73.75277171595491 40.7588730283781, -73.7523025932304 40.7594551988291, -73.7511558297153 40.7590697687533, -73.75057710625281 40.7580148949859, -73.75004764532351 40.7584046577892, -73.74809587941181 40.7558995497239, -73.7471111390043 40.7541732860923, -73.7477411650566 40.7538499446469, -73.74760569959651 40.7535078778403, -73.74737514953431 40.7529596192053, -73.74709885341819 40.7523468286754, -73.74687468052321 40.7520886467969, -73.74684219614559 40.7520580751521, -73.7468079461965 40.7520284179988, -73.74667146050641 40.7519321868972, -73.7465268141289 40.7518426459482, -73.7463748942032 40.7517603651579, -73.7462166566086 40.7516858505244, -73.745707587539 40.7515855157711, -73.74507911666331 40.7502738967369, -73.7440966877118 40.7482066422773, -73.74382205582231 40.7474281953054, -73.7462598439984 40.7467114753128, -73.7459306030468 40.7457156590056, -73.7447758712902 40.7432810973722, -73.7456762111548 40.7430272986209, -73.7467197532884 40.7431236480601, -73.74784861300969 40.7432960779712, -73.7479495654371 40.743316089456, -73.74805189055191 40.7433315506478, -73.7481552341179 40.7433424080217, -73.7482592383723 40.743348623991, -73.7483635432651 40.7433501770367, -73.7484677878481 40.7433470617765, -73.7485716110947 40.7433392889883, -73.74867465358059 40.7433268855804, -73.7487765585845 40.7433098944921, -73.7488769733239 40.7432883745446, -73.7497983454536 40.7431424431448, -73.7507279032 40.7429978468997, -73.7516332752915 40.7428067604082, -73.7525333180336 40.7426113329918, -73.75347299961381 40.7424048442008, -73.751389675277 40.740194159509, -73.7512642220935 40.7401253695749, -73.7512639974656 40.740125243277, -73.7512637610656 40.7401251434229, -73.7511275994362 40.7400673146216, -73.7511273509533 40.7400672065323, -73.7511270669405 40.7400671169617, -73.7509824191385 40.7400214987863, -73.75098230033591 40.7400214628462, -73.75098218260401 40.7400214351172, -73.7508319330678 40.7399889529977, -73.75083176669099 40.7399889169545, -73.7508315898948 40.7399888989817, -73.750678850947 40.739969963877, -73.75052540203281 40.7399537816784, -73.75052516602361 40.7399537543628, -73.7505249532073 40.7399537093396, -73.7503737286458 40.7399224931913, -73.7503735866804 40.7399224670844, -73.75037344456869 40.739922421209, -73.7502279572477 40.7398765307126, -73.7502278628981 40.7398764936521, -73.7500919221236 40.7398171166531, -73.7500917088138 40.7398170272334, -73.7500915086075 40.7398169088599, -73.7499680431149 40.7397457529868, -73.7465779603279 40.7403465923518, -73.7439619355481 40.740789126956, -73.7438526416734 40.7400939494015, -73.7437194131108 40.739383149617, -73.74360280254859 40.7390126088151, -73.74346956816871 40.738870103731, -73.7430682082138 40.7384408177618, -73.74222678183629 40.7386156716817, -73.7415520264933 40.7387620412623, -73.7414200064737 40.7387838078962, -73.7412811385087 40.7387886923666, -73.7411411577618 40.7387753380058, -73.7410063848565 40.7387439680978, -73.7410062552734 40.7387439311179, -73.7410061245852 40.7387438951408, -73.7408821767349 40.7386962404998, -73.7407734476423 40.7386352734325, -73.74055585492761 40.7385871826239, -73.7402908162988 40.7385166701402, -73.74016951762781 40.7384818975069))",53103
"POLYGON ((-73.8830938237214 40.8666021850237, -73.882975370899 40.8664497320036, -73.8827179466861 40.8661329657047, -73.88267624733309 40.8660891414811, -73.8827365885687 40.8660485731015, -73.8831981612271 40.8657663141534, -73.8834416834891 40.8656163315249, -73.8835637781735 40.8655263518073, -73.88367321255311 40.8654252832369, -73.88376749222719 40.865314753169, -73.8838446444133 40.8651968126505, -73.8838456525788 40.8651947013661, -73.8839430301262 40.8649481870182, -73.8839692233375 40.8648177413037, -73.8839751503064 40.8646839981155, -73.88396002429759 40.8645497192897, -73.8839239582872 40.8644177618714, -73.8838679211423 40.8642908887709, -73.88379386527291 40.864171823842, -73.88379371102801 40.8641715717319, -73.8820079413837 40.8620468533623, -73.8815762761367 40.8617046476099, -73.8810346910312 40.8612752950785, -73.88092572594761 40.8611622882411, -73.8808305590518 40.8610403444469, -73.8807509914126 40.8609109878749, -73.8807444149015 40.8608968057603, -73.88068839533111 40.8607759930427, -73.8806437032144 40.8606373169438, -73.88061726873219 40.8604970106175, -73.8806089685532 40.8603570931071, -73.8807743017378 40.8594229988046, -73.8809658621813 40.8585452052865, -73.88098942824941 40.8584593588037, -73.8810067895934 40.858268022657, -73.8810046438003 40.8580756573903, -73.8809829378594 40.8578839921238, -73.8809419905601 40.8576949913868, -73.88094193187909 40.8576947393711, -73.88094184979531 40.8576944955398, -73.8808822507974 40.857509545339, -73.880808100754 40.8571984483604, -73.8807915527526 40.8571275087284, -73.88077132220251 40.8570397610158, -73.8807295409991 40.8568072749283, -73.8807304281991 40.856676604911, -73.8810335892742 40.8555999527382, -73.8816676003709 40.8533482003317, -73.8819850763679 40.8522512555572, -73.88200299012411 40.8521893581889, -73.8821428281707 40.8516955310058, -73.882322566303 40.8510607915024, -73.8823783365095 40.8508621717931, -73.8825574525016 40.8502242578025, -73.8828493146014 40.8491925272492, -73.8828826916838 40.8490740468902, -73.88311982503819 40.8482210918767, -73.88322877667611 40.8483458783376, -73.8837775579251 40.8486821839169, -73.88480193461621 40.8493094596143, -73.8852116276778 40.8495609394915, -73.8853043847926 40.8496178756934, -73.8853606771017 40.849652428778, -73.88581418548679 40.84993079669, -73.8864334582296 40.8503089471874, -73.8873566200336 40.850873897618, -73.88771029874751 40.8509606847453, -73.8880053994035 40.8509761026742, -73.8882397409638 40.8510353659089, -73.88878245650891 40.8513411849812, -73.8889525631608 40.851440780773, -73.8895183770486 40.8518027446645, -73.8896304504684 40.8518859320505, -73.8898787139924 40.8520702205241, -73.889939615622 40.8525907629616, -73.8896332830232 40.8531738184376, -73.88960978077959 40.8536218805487, -73.8900303949152 40.8542209916776, -73.8903895400959 40.8546890580852, -73.89044259217179 40.8550463513623, -73.8907742854385 40.8558119403117, -73.8910867650835 40.8565972570469, -73.8910971042644 40.856779813682, -73.89110556791189 40.8574273827405, -73.8911131881483 40.8578509991929, -73.8911111530736 40.8583843220528, -73.8911194323835 40.8586589619086, -73.89112461428979 40.8588700058052, -73.8911552617302 40.8600365488563, -73.89059489197351 40.8607156997942, -73.8902755550459 40.86110907335, -73.890368238656 40.8611580764, -73.89067451759929 40.8613200721787, -73.890821698287 40.8613993960937, -73.89106280613041 40.8615294121166, -73.8913802338034 40.8617005877605, -73.89177188799199 40.8618717167501, -73.8917325661388 40.8619098146779, -73.891148030975 40.8624761381295, -73.89065393003651 40.8629548340253, -73.8901616370098 40.8634763628241, -73.88889566076421 40.8647541532372, -73.8881227877602 40.8642545710802, -73.8868331704345 40.8653899938606, -73.8859370348964 40.8659243981237, -73.88513907744679 40.8663828741924, -73.8844286140687 40.8668003788374, -73.8836251806347 40.8672575875038, -73.8830938237214 40.8666021850237))",175269
"POLYGON ((-73.97500111964059 40.7775277799167, -73.9754593249985 40.7768987227268, -73.9759551736114 40.7762197546263, -73.9764577739989 40.775532537252, -73.976911682924 40.7749091240271, -73.97737084993049 40.7742810077164, -73.97782639364949 40.7736561924244, -73.97828220102311 40.7730318787381, -73.9787224679213 40.7724188987877, -73.9791921451197 40.7717812660013, -73.9796523340224 40.7711553275426, -73.98011181561741 40.7705283686784, -73.98056370666851 40.769905324566, -73.98102290050331 40.7692728335597, -73.981679436394 40.7683901309361, -73.9816314948541 40.768367928353, -73.9815872266 40.7683416844904, -73.98154721809721 40.7683117470296, -73.98151200004639 40.7682785120947, -73.9814820383948 40.7682424205408, -73.9814577300632 40.7682039505063, -73.9814416667173 40.7681640574824, -73.9814313188816 40.768123085425, -73.9814268057239 40.768081506219, -73.9814281792123 40.7680397987411, -73.9814354231559 40.7679984431378, -73.9814484545313 40.7679579158903, -73.9814671232423 40.7679186837617, -73.981491214267 40.7678811985983, -73.9815281842266 40.7678422392628, -73.9815712094294 40.7678070564275, -73.9816196288635 40.767776190612, -73.98167269856771 40.7677501160024, -73.9817296033069 40.767729233196, -73.98178946884209 40.7677138630185, -73.98184374455499 40.7677072052001, -73.9818986637865 40.7677052796139, -73.9819535150926 40.7677081112048, -73.9820075878238 40.7677156627459, -73.98206018167529 40.7677278369281, -73.9821106153311 40.7677444760437, -73.98236545039551 40.7673921527108, -73.98521720261181 40.7685946304578, -73.9880628954858 40.7697908002879, -73.99059644681429 40.7708548102824, -73.990913074869 40.7709877590355, -73.9936560618851 40.772145962401, -73.9937818981229 40.772199090945, -73.99387445126069 40.7722381683908, -73.9935026218083 40.7727516331005, -73.99359086402821 40.7727900802966, -73.9937253470855 40.7728641989879, -73.9937873699981 40.7729038462627, -73.99383108136981 40.7729317878506, -73.9938875443635 40.7729557441638, -73.993891252437 40.7729551948767, -73.99396258551459 40.7729446539089, -73.99401262480509 40.7728828461293, -73.9941220580824 40.7729240585234, -73.9941366532497 40.7729018701743, -73.9943013423911 40.7729700286639, -73.9942815351345 40.7729938015667, -73.99437655275101 40.7730395511014, -73.9943186346871 40.7731214402702, -73.99429402982381 40.7731562439918, -73.9950232758607 40.7734811965762, -73.99507108796961 40.7734141386658, -73.9950893918929 40.7733884750391, -73.9950139637168 40.7733580349244, -73.9950502846992 40.7732971531899, -73.9962406518988 40.7737897913977, -73.9961958368099 40.7738523561841, -73.9961084681473 40.7738163160151, -73.99610778143 40.7738173776011, -73.99606316874289 40.7738868866101, -73.9961269777373 40.7739133546208, -73.99612850482779 40.7739139849031, -73.9961263614022 40.7739167136542, -73.99609880736971 40.7739518052991, -73.99611835168891 40.7739603239614, -73.9961794593127 40.7739869543515, -73.9960952452262 40.7740861864376, -73.9960512527533 40.7740688958032, -73.9955722651611 40.7738707313943, -73.9939369418221 40.7731795109669, -73.9938629532914 40.7732695290723, -73.9938233450535 40.7733817668827, -73.9937679139921 40.7734839940052, -73.993699309278 40.7735621521555, -73.9936227952132 40.7736322902124, -73.9935278276413 40.7737144464686, -73.993443419172 40.7737705496783, -73.9934117567152 40.7738026124239, -73.99335894150749 40.7739268801546, -73.9926226638654 40.7749740560369, -73.9925778427661 40.7749560163594, -73.9925277439515 40.7750021104398, -73.9924697458153 40.7750241595518, -73.9924038371919 40.7750181403907, -73.99226708903539 40.7751160338585, -73.9920590849372 40.7754975981923, -73.9921253723949 40.7755090750534, -73.992226867797 40.7754822110261, -73.9923293466088 40.7754689009585, -73.9923617568011 40.7755018997666, -73.99238604296031 40.7755571799221, -73.9920876847127 40.7759839708214, -73.99201877991069 40.7760733407354, -73.9914295319022 40.7768795600427, -73.9909271741497 40.777566878763, -73.9907304133949 40.77756054974, -73.9903961600365 40.7775850656791, -73.99010126597661 40.7779964575166, -73.9896488729282 40.778627560009, -73.9892009588643 40.7792523986516, -73.9892006808993 40.7792527862792, -73.9891757784381 40.7792875235132, -73.989085194786 40.7794075971594, -73.9888686174 40.7796929229114, -73.98887187449979 40.7797137377504, -73.9892190228806 40.7796978952094, -73.98927785904429 40.7797234392711, -73.9894090541801 40.779737706472, -73.989498614927 40.7797250443898, -73.98959649338831 40.7796981461808, -73.98967981290259 40.7796775681555, -73.98975270293791 40.7796712442116, -73.98984224780649 40.7796807526707, -73.9899443022715 40.7796965927686, -73.9900401021205 40.7797076771957, -73.9901379775248 40.7796997697048, -73.9902233684565 40.7796823612112, -73.99033584033219 40.779661794395, -73.9904305986971 40.7796649725529, -73.99050764615509 40.7796681391239, -73.9906221993968 40.7796760644117, -73.99074506950549 40.7796713281841, -73.9908721142823 40.7796460071413, -73.9909616722244 40.7796396837518, -73.9910574728296 40.7796523521232, -73.99115742949699 40.7796697756065, -73.9912428174045 40.7796713670845, -73.9912553182897 40.7796507825165, -73.99129488712011 40.7796302092089, -73.9913219676499 40.7796317960414, -73.99135945556949 40.7795858828348, -73.9915510592274 40.7795748209348, -73.99141982585959 40.779755280287, -73.988886144117 40.7798788985327, -73.98893965670629 40.7799561784404, -73.9889261035308 40.7800592920136, -73.98891168026471 40.7800960371466, -73.98891166067369 40.7801223662676, -73.9889192614684 40.7802260943437, -73.98838105020261 40.7809810740458, -73.988232413847 40.7812331442156, -73.98821042083161 40.7812254825421, -73.9881441813541 40.7813656713272, -73.98813788174481 40.781379281274, -73.9881274610258 40.7814017964422, -73.98799363156409 40.7813428173476, -73.9874621985703 40.7811086095956, -73.9874143269047 40.7810875110951, -73.9873636398318 40.7810628051105, -73.9873077285431 40.7810413032878, -73.9870713746564 40.7809063815923, -73.98654378951809 40.7806579807911, -73.98567936117639 40.7803126333349, -73.9853695267737 40.7810783723626, -73.9850718434502 40.7817796809692, -73.9835260146705 40.7811300110227, -73.98234194980471 40.7806304339209, -73.9818693674316 40.780430901171, -73.98162787427169 40.7803289349699, -73.9815191134731 40.7802817575162, -73.9814094866995 40.7802354186193, -73.98067365411011 40.7799251824874, -73.97944815885479 40.77940990933, -73.9792613658559 40.7793313676083, -73.97783301639009 40.7787307220316, -73.97500111964059 40.7775277799167))",318134
"POLYGON ((-73.8470495798843 40.887671816382, -73.84744396884641 40.8869785311672, -73.8474870881772 40.8869145380662, -73.8478577732018 40.886364412825, -73.84790388184049 40.8862959841533, -73.84798702067231 40.8861721182363, -73.8480216570717 40.8861205147839, -73.8480491808959 40.8860795086516, -73.8480941526192 40.8860125061993, -73.84813585815751 40.8859503698164, -73.8481717862757 40.8858968416741, -73.8482083531121 40.885842361659, -73.8482494132366 40.8857811876397, -73.8482853411742 40.8857276584552, -73.8483219078249 40.8856731782349, -73.8483641717479 40.8856102107501, -73.84846274096429 40.8854610323107, -73.8487638495759 40.8850053167116, -73.8488204414688 40.884919667, -73.8492774208097 40.8842415047351, -73.84973488154699 40.8835558031968, -73.8502014943833 40.8828698700821, -73.850651231431 40.8821917899217, -73.85110603635781 40.8815089710679, -73.85156600559461 40.8808253637701, -73.8520328047266 40.8801399721686, -73.85248305833819 40.879463705041, -73.8520701172022 40.8792976570856, -73.8518656376786 40.8790588651067, -73.8513837410563 40.8784762233523, -73.8509189601734 40.8778934406342, -73.8521121737523 40.8772978796204, -73.8525485403098 40.8770915867635, -73.85172236136449 40.8768433706631, -73.850931867908 40.8758300149235, -73.85068955599191 40.8754866778826, -73.851432479856 40.8749872709806, -73.8520642459865 40.8745036469169, -73.8521543586039 40.874434199161, -73.8527803433094 40.8739532290256, -73.85362131856979 40.8733120870825, -73.8536363872702 40.8733005992089, -73.8545080500042 40.8735809424964, -73.85551758434011 40.8739039558001, -73.85577052357689 40.8739837129306, -73.85651292387629 40.8742177931594, -73.8565511810873 40.873030429218, -73.85661382450419 40.8712501669821, -73.8575485444421 40.8712663177773, -73.8584873163454 40.8712840601187, -73.8594268045544 40.871300696744, -73.86036598198891 40.8713186224747, -73.861379240695 40.8713365121415, -73.8623921285397 40.8713567336024, -73.8633319833407 40.8713751574986, -73.8642660439013 40.8713896502361, -73.8652089007699 40.8714076495988, -73.86614489502141 40.8714229845908, -73.8671586421932 40.8714419131404, -73.8682588779957 40.8714623280261, -73.8693512243092 40.8714833537104, -73.87056192524661 40.8715107784537, -73.87037667181831 40.873284372162, -73.8703131080802 40.8753406209558, -73.87031508399561 40.8756175227329, -73.8703168466168 40.8757357228155, -73.8703175077388 40.8757797934625, -73.87030247991871 40.8759424766172, -73.8702699788134 40.8761039703122, -73.87022032860671 40.8762626428901, -73.8701994486992 40.8763113553214, -73.87018094221359 40.8763545304379, -73.8701541845863 40.8764169575417, -73.8700467262389 40.8766705308285, -73.86948896192651 40.8779894684105, -73.86943466926991 40.8781288429224, -73.8694130562272 40.8781820299197, -73.8693867259221 40.8782339776282, -73.86935580035519 40.8782844453286, -73.8693204227809 40.87833319879, -73.8692807571959 40.8783800124576, -73.86923698739869 40.8784246694005, -73.8691862335607 40.8784661489897, -73.8691285174766 40.8785188701514, -73.86907407564991 40.8785791675305, -73.86894382691671 40.8785918527793, -73.8687436679112 40.8788231922108, -73.86812877191861 40.8800665529198, -73.8670525828412 40.8822552157505, -73.8660523126306 40.8842870441511, -73.86603813220459 40.8843590225458, -73.8660380956608 40.884359193209, -73.8660381076409 40.8843593821884, -73.86604065137389 40.8844329818433, -73.8660406638863 40.8844332353195, -73.8660407342541 40.8844334769688, -73.8660602493697 40.8845056559591, -73.8660602846178 40.8845057997344, -73.86606034285499 40.8845059271191, -73.866095684021 40.8845736214591, -73.86616465843809 40.884677922965, -73.8661647651826 40.8846780772096, -73.8661648474091 40.8846782398019, -73.86621798004749 40.8847900146814, -73.86625345816191 40.884907300171, -73.86627000527371 40.8850273001961, -73.8662700174548 40.8850273896673, -73.8662700172745 40.8850274792917, -73.86626727212 40.8851476913244, -73.8662457491909 40.8852654498378, -73.8662457251134 40.8852655682484, -73.8662456763002 40.8852656933312, -73.86620661508449 40.8853786145653, -73.86538049290159 40.8868834752235, -73.8646002191612 40.8882997123898, -73.8638085739438 40.8897158993729, -73.8630384240507 40.8911125478588, -73.86276661966551 40.8916195748411, -73.8627518840416 40.8916506870028, -73.862739721881 40.8918388928255, -73.86225345451921 40.8926704881894, -73.86215575104291 40.8928340630186, -73.8619822958274 40.8931612627871, -73.8619253514331 40.8932912159851, -73.8614925355994 40.894278917227, -73.8614051404809 40.8945390441706, -73.86135927864299 40.8946623193555, -73.86071098127969 40.895370544372, -73.859833380404 40.8950852266142, -73.8569561940339 40.8941679377232, -73.8573628168521 40.8934114394048, -73.85566327271739 40.8928523942268, -73.8552537851846 40.892720626194, -73.8544916918392 40.8924785182505, -73.8534027473568 40.8921322996208, -73.8518294840794 40.8916297823208, -73.851498732976 40.8915347967421, -73.8506908408134 40.8913027711229, -73.8504012506808 40.8912054586474, -73.8487415337904 40.8906477148661, -73.8474135526956 40.8902221976759, -73.8463253313181 40.8898772267062, -73.8459056854627 40.8897413693808, -73.84626182326819 40.8890983381845, -73.84645600856 40.8887484346981, -73.8466545777071 40.8883906199086, -73.8470495798843 40.887671816382))",110461
